question_id,topic,answer_type,region,generated_at,question_en,answers_en,question_hi,answers_hi,question_ja,answers_ja,question_sw,answers_sw,question_th,answers_th,question_translate_hi,answers_translate_hi,question_translate_ja,answers_translate_ja,question_translate_sw,answers_translate_sw,question_translate_th,answers_translate_th
4,Politics,Person,Thailand,20250510-235116,Who was the Prime Minister of Thailand during the Black May event in 1992?,"[""Suchinda Kraprayoon"", ""General Suchinda Kraprayoon"", ""Suchinda Kraprayoon""]",1992 में ब्लैक मई की घटना के दौरान थाईलैंड के प्रधान मंत्री कौन थे?,"[""सुचिंदा क्राप्रायून"", ""जनरल सुचिंदा क्राप्रायून"", ""Suchinda Kraprayoon""]",1992年の暗黒の5月事件の際、タイの首相は誰でしたか？,"[""スチンダー・クラプライーン"", ""スチンダー・クラプライーン将軍"", ""Suchinda Kraprayoon""]",Nani alikuwa Waziri Mkuu wa Thailand wakati wa tukio la Mei Nyeusi mnamo 1992?,"[""Suchinda Kraprayoon"", ""Jenerali Suchinda Kraprayoon""]",ใครเป็นนายกรัฐมนตรีของประเทศไทยในช่วงเหตุการณ์พฤษภาทมิฬ พ.ศ. 2535,"[""สุจินดา คราประยูร"", ""พลเอก สุจินดา คราประยูร"", ""Suchinda Kraprayoon""]",1992 में ब्लैक मई इवेंट के दौरान थाईलैंड के प्रधान मंत्री कौन थे?,"[""सुचिंडा क्रप्रायून"", ""जनरल सुचिंडा क्रप्रायून"", ""सुचिंडा क्रप्रायून""]",1992年の黒人メイイベントの間、タイ首相は誰でしたか？,"[""Antinda Kraprayoon"", ""将軍、indina Kraprayoon"", ""Antinda Kraprayoon""]",Je! Waziri Mkuu wa Thailand alikuwa nani wakati wa hafla ya Nyeusi Mei mnamo 1992?,"[""Suchinda Kraprayoon"", ""Jenerali Suchinda Kraprayoon"", ""Suchinda Kraprayoon""]",ใครคือนายกรัฐมนตรีของประเทศไทยในช่วงเหตุการณ์ Black May ในปี 1992?,"[""Suchinda Kraprayoon"", ""ทั่วไปเช่นนี้ Kraprayoon"", ""Suchinda Kraprayoon""]"
5,Politics,Person,Thailand,20250510-235116,Who was the founder of the Democrat Party (Thailand)?,"[""Seni Pramoj"", ""Mom Rajawongse Seni Pramoj"", ""Seni Pramoj""]",डेमोक्रेट पार्टी (थाईलैंड) के संस्थापक कौन थे?,"[""सेनी प्रामोज"", ""मोम राजावोंगसे सेनी प्रामोज"", ""Seni Pramoj""]",民主党（タイ）の創設者は誰でしたか？,"[""セーニー・プラモート"", ""モム・ラーチャウォン・セーニー・プラモート"", ""Seni Pramoj""]",Nani alikuwa mwanzilishi wa Chama cha Democrat (Thailand)?,"[""Seni Pramoj"", ""Mom Rajawongse Seni Pramoj""]",ใครเป็นผู้ก่อตั้งพรรคประชาธิปัตย์,"[""เสนีย์ ปราโมช"", ""หม่อมราชวงศ์เสนีย์ ปราโมช"", ""Seni Pramoj""]",डेमोक्रेट पार्टी (थाईलैंड) का संस्थापक कौन था?,"[""सेनि प्रामोज"", ""माँ राजवॉन्गसे सेनी प्रामोज"", ""सेनि प्रामोज""]",民主党（タイ）の創設者は誰でしたか？,"[""セニ・プラモジ"", ""お母さんラジャウォンセ・セニ・プラモジ"", ""セニ・プラモジ""]",Mwanzilishi wa Chama cha Democrat (Thailand) alikuwa nani?,"[""Seni Pramoj"", ""Mama Rajawongse Seni Pramoj"", ""Seni Pramoj""]",ใครคือผู้ก่อตั้งพรรคประชาธิปัตย์ (ไทย)?,"[""Seni Pramoj"", ""Mom Rajawongse Seni Pramoj"", ""Seni Pramoj""]"
6,Politics,Person,Thailand,20250510-235116,Who was the Prime Minister of Thailand during the Tom Yum Kung crisis?,"[""Chavalit Yongchaiyudh"", ""General Chavalit Yongchaiyudh"", ""Chavalit Yongchaiyudh""]",टॉम यम कुंग संकट के दौरान थाईलैंड के प्रधान मंत्री कौन थे?,"[""चवलित योंगचायुध"", ""जनरल चवलित योंगचायुध"", ""Chavalit Yongchaiyudh""]",トムヤムクン危機の際、タイの首相は誰でしたか？,"[""チャワリット・ヨンチャイユット"", ""チャワリット・ヨンチャイユット将軍"", ""Chavalit Yongchaiyudh""]",Nani alikuwa Waziri Mkuu wa Thailand wakati wa mgogoro wa Tom Yum Kung?,"[""Chavalit Yongchaiyudh"", ""Jenerali Chavalit Yongchaiyudh""]",ใครเป็นนายกรัฐมนตรีของประเทศไทยในช่วงวิกฤตต้มยำกุ้ง,"[""ชวลิต ยงใจยุทธ"", ""พลเอก ชวลิต ยงใจยุทธ"", ""Chavalit Yongchaiyudh""]",टॉम यम कुंग संकट के दौरान थाईलैंड के प्रधान मंत्री कौन थे?,"[""चावलित योंगचैयूढ़"", ""जनरल चवालित योंगचयूध"", ""चावलित योंगचैयूढ़""]",トム・ユム・カン危機の間、タイ首相は誰でしたか？,"[""チャバリット・ヨンチャイユード"", ""チャバリット・ヨンチャイユード将軍"", ""チャバリット・ヨンチャイユード""]",Je! Waziri Mkuu wa Thailand alikuwa nani wakati wa Mgogoro wa Tom Yum Kung?,"[""Chavalit Yongchaiyudh"", ""Jenerali Chavalit Yongchaiyudh"", ""Chavalit Yongchaiyudh""]",ใครคือนายกรัฐมนตรีแห่งประเทศไทยในช่วงวิกฤตทอมยัมกังกัง?,"[""Chavalit Yongchaiyudh"", ""Chavalit Yongchaiyudh ทั่วไป"", ""Chavalit Yongchaiyudh""]"
7,Politics,Person,Thailand,20250510-235116,Who was the first female Prime Minister of Thailand?,"[""Yingluck Shinawatra"", ""Yingluck Shinawatra""]",थाईलैंड की पहली महिला प्रधान मंत्री कौन थीं?,"[""यिंगलक शिनावात्रा"", ""Yingluck Shinawatra""]",タイ初の女性首相は誰でしたか？,"[""インラック・シナワット"", ""Yingluck Shinawatra""]",Nani alikuwa Waziri Mkuu wa kwanza mwanamke wa Thailand?,"[""Yingluck Shinawatra""]",ใครเป็นนายกรัฐมนตรีหญิงคนแรกของประเทศไทย,"[""ยิ่งลักษณ์ ชินวัตร"", ""Yingluck Shinawatra""]",थाईलैंड की पहली महिला प्रधान मंत्री कौन थीं?,"[""यिंगलक शिनावात्रा"", ""यिंगलक शिनावात्रा""]",タイの最初の女性首相は誰でしたか？,"[""Yingluck Shinawatra"", ""Yingluck Shinawatra""]",Je! Waziri Mkuu wa kwanza wa kike wa Thailand alikuwa nani?,"[""Yingluck Shinawatra"", ""Yingluck Shinawatra""]",ใครคือนายกรัฐมนตรีหญิงคนแรกของประเทศไทย?,"[""Yingluck Shinawatra"", ""Yingluck Shinawatra""]"
8,Politics,Person,Thailand,20250510-235116,Who was the Prime Minister of Thailand immediately before the 2006 coup?,"[""Thaksin Shinawatra"", ""Thaksin Shinawatra""]",2006 के तख्तापलट से ठीक पहले थाईलैंड के प्रधान मंत्री कौन थे?,"[""थकसिन शिनावात्रा"", ""Thaksin Shinawatra""]",2006年のクーデターの直前のタイの首相は誰でしたか？,"[""タクシン・シナワット"", ""Thaksin Shinawatra""]",Nani alikuwa Waziri Mkuu wa Thailand mara moja kabla ya mapinduzi ya 2006?,"[""Thaksin Shinawatra""]",ใครเป็นนายกรัฐมนตรีของประเทศไทยก่อนการรัฐประหาร พ.ศ. 2549,"[""ทักษิณ ชินวัตร"", ""Thaksin Shinawatra""]",2006 के तख्तापलट से ठीक पहले थाईलैंड का प्रधान मंत्री कौन था?,"[""ठाकसिन शिनावात्रा"", ""ठाकसिन शिनावात्रा""]",2006年のクーデターの直前にタイ首相は誰でしたか？,"[""タクシン・シナワトラ"", ""タクシン・シナワトラ""]",Je! Waziri Mkuu wa Thailand alikuwa nani kabla ya mapinduzi ya 2006?,"[""Thaksin Shinawatra"", ""Thaksin Shinawatra""]",ใครคือนายกรัฐมนตรีของประเทศไทยทันทีก่อนการรัฐประหารปี 2549?,"[""Thaksin Shinawatra"", ""Thaksin Shinawatra""]"
9,Politics,Person,Thailand,20250510-235116,Who was the longest-serving Prime Minister of Thailand?,"[""Plaek Phibunsongkhram"", ""Phibun"", ""Field Marshal Plaek Phibunsongkhram""]",थाईलैंड के सबसे लंबे समय तक सेवा करने वाले प्रधान मंत्री कौन थे?,"[""प्लेक फिबुनसोंगखराम"", ""फिबन"", ""फील्ड मार्शल प्लेक फिबुनसोंगखराम"", ""Plaek Phibunsongkhram"", ""Phibun""]",タイで最も長く首相を務めたのは誰ですか？,"[""プレーク・ピブーンソンクラーム"", ""ピブーン"", ""プレーク・ピブーンソンクラーム元帥"", ""Plaek Phibunsongkhram"", ""ピブーン (Pibūn)""]",Nani alikuwa Waziri Mkuu aliyehudumu kwa muda mrefu zaidi nchini Thailand?,"[""Plaek Phibunsongkhram"", ""Phibun"", ""Field Marshal Plaek Phibunsongkhram""]",ใครเป็นนายกรัฐมนตรีที่ดำรงตำแหน่งยาวนานที่สุดของประเทศไทย,"[""แปลก พิบูลสงคราม"", ""จอมพล แปลก พิบูลสงคราม"", ""Plaek Phibunsongkhram""]",थाईलैंड के सबसे लंबे समय तक चलने वाले प्रधान मंत्री कौन थे?,"[""प्लाक फिबुनसोंगखराम"", ""फिबुन"", ""फील्ड मार्शल प्लाक फिबुनसॉन्गख्राम""]",タイの最も長く奉仕している首相は誰でしたか？,"[""Plaek Phibunsongkhram"", ""フィブン"", ""フィールドマーシャルプレークフィブンソンクラム""]",Je! Waziri Mkuu wa Thailand alikuwa nani?,"[""Plaek Phibunsongkhram"", ""Phibun"", ""Shamba la Marshal Plaek Phibunsongkhram""]",ใครคือนายกรัฐมนตรีที่ให้บริการที่ยาวนานที่สุด?,"[""Plaek Phibunsongkhram"", ""phibun"", ""Field Marshal Plaek Phibunsongkhram""]"
10,Politics,Person,Thailand,20250510-235116,Who was the Prime Minister of Thailand during the Thammasat University massacre in 1976?,"[""Seni Pramoj"", ""Mom Rajawongse Seni Pramoj"", ""Seni Pramoj""]",1976 में थम्मासात विश्वविद्यालय नरसंहार के दौरान थाईलैंड के प्रधान मंत्री कौन थे?,"[""सेनी प्रामोज"", ""मोम राजावोंगसे सेनी प्रामोज"", ""Seni Pramoj""]",1976年のタマサート大学虐殺事件の際、タイの首相は誰でしたか？,"[""セーニー・プラモート"", ""モム・ラーチャウォン・セーニー・プラモート"", ""Seni Pramoj""]",Nani alikuwa Waziri Mkuu wa Thailand wakati wa mauaji ya Chuo Kikuu cha Thammasat mnamo 1976?,"[""Seni Pramoj"", ""Mom Rajawongse Seni Pramoj""]",ใครเป็นนายกรัฐมนตรีของประเทศไทยในช่วงเหตุการณ์ 6 ตุลา พ.ศ. 2519,"[""เสนีย์ ปราโมช"", ""หม่อมราชวงศ์เสนีย์ ปราโมช"", ""Seni Pramoj""]",1976 में थममासट विश्वविद्यालय नरसंहार के दौरान थाईलैंड के प्रधान मंत्री कौन थे?,"[""सेनि प्रामोज"", ""माँ राजवॉन्गसे सेनी प्रामोज"", ""सेनि प्रामोज""]",1976年のタマサット大学虐殺の間、タイ首相は誰ですか？,"[""セニ・プラモジ"", ""お母さんラジャウォンセ・セニ・プラモジ"", ""セニ・プラモジ""]",Je! Waziri Mkuu wa Thailand alikuwa nani wakati wa mauaji ya Chuo Kikuu cha Thammasat mnamo 1976?,"[""Seni Pramoj"", ""Mama Rajawongse Seni Pramoj"", ""Seni Pramoj""]",ใครคือนายกรัฐมนตรีของประเทศไทยในระหว่างการสังหารหมู่มหาวิทยาลัย Thammasat ในปี 1976?,"[""Seni Pramoj"", ""Mom Rajawongse Seni Pramoj"", ""Seni Pramoj""]"
1,Science & Technology,Institution,USA,20250510-232315,What institution manages the Jet Propulsion Laboratory (JPL)?,"[""California Institute of Technology"", ""Caltech""]",जेट प्रोपल्शन लेबोरेटरी (Jet Propulsion Laboratory - JPL) का प्रबंधन कौन सा संस्थान करता है?,"[""कैलिफ़ोर्निया इंस्टीट्यूट ऑफ टेक्नोलॉजी (California Institute of Technology)"", ""कैलटेक (Caltech)""]",ジェット推進研究所 (Jet Propulsion Laboratory - JPL) を管理している機関はどこですか？,"[""カリフォルニア工科大学 (Kariforunia Kōka Daigaku)"", ""カリフォルニアこうかだいがく (Kariforunia Kōka Daigaku)"", ""カルテック (Karutekku)""]",Ni taasisi gani inasimamia Maabara ya Jet Propulsion (Jet Propulsion Laboratory - JPL)?,"[""Taasisi ya Teknolojia ya California"", ""Caltech""]",สถาบันใดที่บริหารจัดการห้องปฏิบัติการ Jet Propulsion (Jet Propulsion Laboratory - JPL),"[""สถาบันเทคโนโลยีแคลิฟอร์เนีย (Sathaban Theknoloyi Khaelifonia)"", ""แคลเทค (Khaelthekh)""]",कौन सी संस्था जेट प्रोपल्शन लेबोरेटरी (जेपीएल) का प्रबंधन करती है?,"[""कैलिफोर्निया प्रौद्योगिकी संस्थान"", ""कैलटेक""]",ジェット推進研究所（JPL）を管理する機関は何ですか？,"[""カリフォルニア工科大学"", ""Caltech""]",Je! Ni taasisi gani inayosimamia Maabara ya Jet Propulsion (JPL)?,"[""Taasisi ya Teknolojia ya California"", ""Caltech""]",สถาบันใดจัดการห้องปฏิบัติการเจ็ทขับเคลื่อน (JPL)?,"[""สถาบันเทคโนโลยีแคลิฟอร์เนีย"", ""คาลเทค""]"
2,Science & Technology,Institution,USA,20250510-232315,Which institution operates the Argonne National Laboratory?,"[""University of Chicago""]",कौन सा संस्थान आर्गन नेशनल लेबोरेटरी (Argonne National Laboratory) का संचालन करता है?,"[""शिकागो विश्वविद्यालय (Shikago Vishwavidyalaya)""]",アルゴンヌ国立研究所 (Argonne National Laboratory) を運営している機関はどこですか？,"[""シカゴ大学 (Shikago Daigaku)"", ""シカゴだいがく (Shikago Daigaku)""]",Ni taasisi gani inayoendesha Maabara ya Kitaifa ya Argonne (Argonne National Laboratory)?,"[""Chuo Kikuu cha Chicago""]",สถาบันใดที่ดำเนินการห้องปฏิบัติการแห่งชาติอาร์กอนน์ (Argonne National Laboratory),"[""มหาวิทยาลัยชิคาโก (Mahawitthayalai Chikako)""]",कौन सा संस्था आर्गन नेशनल लेबोरेटरी का संचालन करती है?,"[""यूनिवर्सिटी ऑफ शिकागो""]",どの機関がアルゴンヌ国立研究所を運営していますか？,"[""シカゴ大学""]",Ni taasisi gani inayofanya kazi Maabara ya Kitaifa ya Argonne?,"[""Chuo Kikuu cha Chicago""]",สถาบันใดที่ดำเนินงานห้องปฏิบัติการแห่งชาติอาร์กอนน์,"[""มหาวิทยาลัยชิคาโก""]"
3,Science & Technology,Institution,USA,20250510-232315,What university is home to the Broad Institute?,"[""Massachusetts Institute of Technology"", ""MIT"", ""Harvard University"", ""Harvard""]",ब्रॉड इंस्टीट्यूट (Broad Institute) किस विश्वविद्यालय में स्थित है?,"[""मैसाचुसेट्स इंस्टीट्यूट ऑफ टेक्नोलॉजी (Massachusetts Institute of Technology)"", ""एमआईटी (MIT)"", ""हार्वर्ड विश्वविद्यालय (Harvard Vishwavidyalaya)"", ""हार्वर्ड (Harvard)""]",ブロード研究所 (Broad Institute) はどの大学にありますか？,"[""マサチューセッツ工科大学 (Masachūsettsu Kōka Daigaku)"", ""マサチューセッツこうかだいがく (Masachūsettsu Kōka Daigaku)"", ""MIT"", ""ハーバード大学 (Hābādo Daigaku)"", ""ハーバードだいがく (Hābādo Daigaku)"", ""ハーバード (Hābādo)""]",Chuo kikuu gani kina makao makuu ya Taasisi ya Broad (Broad Institute)?,"[""Taasisi ya Teknolojia ya Massachusetts"", ""MIT"", ""Chuo Kikuu cha Harvard"", ""Harvard""]",สถาบัน Broad ตั้งอยู่ที่มหาวิทยาลัยใด,"[""สถาบันเทคโนโลยีแมสซาชูเซตส์ (Sathaban Theknoloyi Maessachuset)"", ""เอ็มไอที (Emiti)"", ""มหาวิทยาลัยฮาร์วาร์ด (Mahawitthayalai Hawa)"", ""ฮาร์วาร์ด (Hawa)""]",ब्रॉड इंस्टीट्यूट का कौन सा विश्वविद्यालय है?,"[""मैसाचुसेट्स की तकनीकी संस्था"", ""एमआईटी"", ""विदेश महाविद्यालय"", ""हार्वर्ड""]",ブロード研究所の本拠地はどの大学ですか？,"[""マサチューセッツ工科大学"", ""mit"", ""ハーバード大学"", ""ハーバード""]",Je! Ni chuo kikuu gani kwa Taasisi pana?,"[""Taasisi ya Teknolojia ya Massachusetts"", ""Mit"", ""Chuo Kikuu cha Harvard"", ""Harvard""]",มหาวิทยาลัยอะไรเป็นที่ตั้งของสถาบันกว้าง?,"[""สถาบันเทคโนโลยีแมสซาชูเซตส์"", ""มิกซ์"", ""มหาวิทยาลัยฮาร์วาร์ด"", ""ฮาร์วาร์ด""]"
4,Science & Technology,Institution,USA,20250510-232315,Which institution is responsible for the National Ignition Facility (NIF)?,"[""Lawrence Livermore National Laboratory"", ""LLNL""]",कौन सा संस्थान राष्ट्रीय प्रज्वलन सुविधा (National Ignition Facility - NIF) के लिए जिम्मेदार है?,"[""लॉरेंस लिवरमोर नेशनल लेबोरेटरी (Lawrence Livermore National Laboratory)"", ""एलएलएनएल (LLNL)""]",国立点火施設 (National Ignition Facility - NIF) を担当している機関はどこですか？,"[""ローレンス・リバモア国立研究所 (Rōrensu Ribamoa Kokuritsu Kenkyūjo)"", ""ローレンスリバモアこくりつけんきゅうじょ (Rōrensu Ribamoa Kokuritsu Kenkyūjo)"", ""LLNL""]",Ni taasisi gani inawajibika kwa Kituo cha Kitaifa cha Uwashaji (National Ignition Facility - NIF)?,"[""Maabara ya Kitaifa ya Lawrence Livermore"", ""LLNL""]",สถาบันใดรับผิดชอบ National Ignition Facility (NIF),"[""ห้องปฏิบัติการแห่งชาติลอว์เรนซ์ลิเวอร์มอร์ (Hong Patibatkan Haeng Chat Lawren Liwoemoe)"", ""LLNL""]",राष्ट्रीय इग्निशन फैसिलिटी (NIF) के लिए कौन सी संस्था जिम्मेदार है?,"[""लॉरेंस लिवरमोर नेशनल लेबोरेटरी"", ""Llnl""]",国立イグニッション施設（NIF）を担当する機関はどれですか？,"[""ローレンス・リバモア国立研究所"", ""llnl""]",Je! Ni taasisi gani inayowajibika kwa Kituo cha Kitaifa cha Ignition (NIF)?,"[""Lawrence Liverpoo Maabara ya Kitaifa"", ""Llnl""]",สถาบันใดที่รับผิดชอบด้านการจุดระเบิดแห่งชาติ (NIF),"[""Lawrence Livermore National Laboratory"", ""llnl""]"
5,Science & Technology,Institution,USA,20250510-232315,What institution manages the Los Alamos National Laboratory?,"[""Triad National Security, LLC"", ""Triad National Security""]",कौन सा संस्थान लॉस अलामोस नेशनल लेबोरेटरी (Los Alamos National Laboratory) का प्रबंधन करता है?,"[""ट्रायड नेशनल सिक्योरिटी, एलएलसी (Triad National Security, LLC)"", ""ट्रायड नेशनल सिक्योरिटी (Triad National Security)""]",ロスアラモス国立研究所 (Los Alamos National Laboratory) を管理している機関はどこですか？,"[""トライアド・ナショナル・セキュリティ (Toraiado Nashonaru Sekyuriti)"", ""トライアドナショナルセキュリティ (Toraiado Nashonaru Sekyuriti)"", ""Triad National Security, LLC""]",Ni taasisi gani inasimamia Maabara ya Kitaifa ya Los Alamos (Los Alamos National Laboratory)?,"[""Triad National Security, LLC"", ""Triad National Security""]",สถาบันใดที่บริหารจัดการห้องปฏิบัติการแห่งชาติลอสอลามอส (Los Alamos National Laboratory),"[""Triad National Security, LLC"", ""Triad National Security""]",लॉस अलामोस नेशनल लेबोरेटरी का कौन सा संस्थान प्रबंधन करता है?,"[""ट्रायड नेशनल सिक्योरिटी, एलएलसी"", ""त्रय राष्ट्रीय सुरक्षा""]",ロスアラモス国立研究所を管理する機関は何ですか？,"[""Triad National Security、LLC"", ""トライアド国家安全保障""]",Je! Ni taasisi gani inayosimamia Maabara ya Kitaifa ya Los Alamos?,"[""Usalama wa Kitaifa wa Triad, LLC"", ""Usalama wa Kitaifa wa Triad""]",สถาบันใดที่จัดการห้องปฏิบัติการแห่งชาติ Los Alamos,"[""Triad National Security, LLC"", ""ความมั่นคงแห่งชาติที่สาม""]"
6,Science & Technology,Institution,USA,20250510-232315,Which institution is home to the Woods Hole Oceanographic Institution?,"[""Woods Hole Oceanographic Institution"", ""WHOI""]",वुड्स होल ओशनोग्राफिक इंस्टीट्यूशन (Woods Hole Oceanographic Institution) किस संस्थान में स्थित है?,"[""वुड्स होल ओशनोग्राफिक इंस्टीट्यूशन (Woods Hole Oceanographic Institution)"", ""डब्ल्यूएचओआई (WHOI)""]",ウッズホール海洋研究所 (Woods Hole Oceanographic Institution) はどの機関にありますか？,"[""ウッズホール海洋研究所 (Uzzuhōru Kaiyō Kenkyūjo)"", ""ウッズホールかいようけんきゅうじょ (Uzzuhōru Kaiyō Kenkyūjo)"", ""WHOI""]",Ni taasisi gani ina makao makuu ya Taasisi ya Oceanografia ya Woods Hole (Woods Hole Oceanographic Institution)?,"[""Taasisi ya Oceanografia ya Woods Hole"", ""WHOI""]",สถาบันใดเป็นที่ตั้งของสถาบันสมุทรศาสตร์วูดส์โฮล (Woods Hole Oceanographic Institution),"[""สถาบันสมุทรศาสตร์วูดส์โฮล (Sathaban Samutrasat Wut Ho)"", ""WHOI""]",वुड्स होल ओशनोग्राफिक इंस्टीट्यूशन का कौन सा संस्थान है?,"[""वुड्स होल ओशनोग्राफिक इंस्टीट्यूशन"", ""हू""]",ウッズホールの海洋施設の本拠地はどの機関ですか？,"[""ウッズホール海洋施設"", ""WHOI""]",Je! Ni taasisi gani ambayo ni nyumbani kwa taasisi ya Woods Hole Oceanographic?,"[""Taasisi ya Woods Hole Oceanographic"", ""Whoi""]",สถาบันใดที่เป็นที่ตั้งของสถาบันสมุทรศาสตร์ Woods Hole?,"[""สถาบันสมุทรศาสตร์ Woods Hole"", ""ใคร""]"
7,Science & Technology,Institution,USA,20250510-232315,What institution is responsible for the National Renewable Energy Laboratory (NREL)?,"[""Alliance for Sustainable Energy, LLC"", ""Alliance for Sustainable Energy""]",कौन सा संस्थान राष्ट्रीय नवीकरणीय ऊर्जा प्रयोगशाला (National Renewable Energy Laboratory - NREL) के लिए जिम्मेदार है?,"[""एलायंस फॉर सस्टेनेबल एनर्जी, एलएलसी (Alliance for Sustainable Energy, LLC)"", ""एलायंस फॉर सस्टेनेबल एनर्जी (Alliance for Sustainable Energy)""]",国立再生可能エネルギー研究所 (National Renewable Energy Laboratory - NREL) を担当している機関はどこですか？,"[""アライアンス・フォー・サステナブル・エネルギー (Araiansu Fō Sasutenaburu Enerugī)"", ""アライアンスフォーサステナブルエネルギー (Araiansu Fō Sasutenaburu Enerugī)"", ""Alliance for Sustainable Energy, LLC""]",Ni taasisi gani inawajibika kwa Maabara ya Kitaifa ya Nishati Mbadala (National Renewable Energy Laboratory - NREL)?,"[""Muungano wa Nishati Endelevu, LLC"", ""Muungano wa Nishati Endelevu""]",สถาบันใดรับผิดชอบห้องปฏิบัติการพลังงานทดแทนแห่งชาติ (National Renewable Energy Laboratory - NREL),"[""Alliance for Sustainable Energy, LLC"", ""Alliance for Sustainable Energy""]",राष्ट्रीय अक्षय ऊर्जा प्रयोगशाला (NREL) के लिए कौन सी संस्था जिम्मेदार है?,"[""सस्टेनेबल एनर्जी के लिए गठबंधन, एलएलसी"", ""सतत ऊर्जा के लिए गठबंधन""]",国立再生可能エネルギー研究所（NREL）の責任者はどの機関ですか？,"[""Alliance for Sustainable Energy、LLC"", ""持続可能なエネルギーのための同盟""]",Je! Ni taasisi gani inayohusika na Maabara ya Kitaifa ya Nishati Mbadala (NREL)?,"[""Ushirikiano wa Nishati Endelevu, LLC"", ""Muungano wa nishati endelevu""]",สถาบันใดที่รับผิดชอบห้องปฏิบัติการพลังงานทดแทนแห่งชาติ (NREL),"[""พันธมิตรเพื่อพลังงานอย่างยั่งยืน LLC"", ""พันธมิตรเพื่อพลังงานที่ยั่งยืน""]"
8,Science & Technology,Institution,USA,20250510-232315,Which institution is the primary research arm of the U.S. Department of Agriculture?,"[""Agricultural Research Service"", ""ARS""]",कौन सा संस्थान अमेरिकी कृषि विभाग (U.S. Department of Agriculture) का प्राथमिक अनुसंधान विभाग है?,"[""कृषि अनुसंधान सेवा (Agricultural Research Service)"", ""एआरएस (ARS)""]",どの機関が米国農務省 (U.S. Department of Agriculture) の主要な研究部門ですか？,"[""農業研究サービス (Nōgyō Kenkyū Sābisu)"", ""のうぎょうけんきゅうサービス (Nōgyō Kenkyū Sābisu)"", ""ARS""]",Ni taasisi gani ndio kitengo kikuu cha utafiti cha Idara ya Kilimo ya Marekani (U.S. Department of Agriculture)?,"[""Huduma ya Utafiti wa Kilimo"", ""ARS""]",สถาบันใดเป็นหน่วยงานวิจัยหลักของกระทรวงเกษตรแห่งสหรัฐอเมริกา (U.S. Department of Agriculture),"[""Agricultural Research Service"", ""ARS""]",अमेरिकी कृषि विभाग की प्राथमिक अनुसंधान शाखा कौन सी संस्था है?,"[""कृषि अनुसंधान सेवा"", ""अर्स""]",米国農務省の主要な研究部門はどの機関ですか？,"[""農業研究サービス"", ""ARS""]",Je! Ni taasisi gani ya msingi ya utafiti wa Idara ya Kilimo ya Merika?,"[""Huduma ya Utafiti wa Kilimo"", ""Ars""]",สถาบันการวิจัยเบื้องต้นของกระทรวงเกษตรของสหรัฐอเมริกาคือสถาบันใด,"[""บริการวิจัยการเกษตร"", ""ARS""]"
9,Science & Technology,Institution,USA,20250510-232315,What institution operates the Fermi National Accelerator Laboratory?,"[""Fermi Research Alliance, LLC"", ""Fermi Research Alliance""]",कौन सा संस्थान फर्मी नेशनल एक्सीलरेटर लेबोरेटरी (Fermi National Accelerator Laboratory) का संचालन करता है?,"[""फर्मी रिसर्च एलायंस, एलएलसी (Fermi Research Alliance, LLC)"", ""फर्मी रिसर्च एलायंस (Fermi Research Alliance)""]",フェルミ国立加速器研究所 (Fermi National Accelerator Laboratory) を運営している機関はどこですか？,"[""フェルミ・リサーチ・アライアンス (Ferumi Risāchi Araiansu)"", ""フェルミリサーチアライアンス (Ferumi Risāchi Araiansu)"", ""Fermi Research Alliance, LLC""]",Ni taasisi gani inayoendesha Maabara ya Kitaifa ya Fermi Accelerator (Fermi National Accelerator Laboratory)?,"[""Muungano wa Utafiti wa Fermi, LLC"", ""Muungano wa Utafiti wa Fermi""]",สถาบันใดที่ดำเนินการห้องปฏิบัติการ Fermi National Accelerator,"[""Fermi Research Alliance, LLC"", ""Fermi Research Alliance""]",क्या संस्था फर्मी नेशनल एक्सेलेरेटर लेबोरेटरी का संचालन करती है?,"[""फर्मी रिसर्च एलायंस, एलएलसी"", ""फर्मी रिसर्च एलायंस""]",Fermi National Accelerator Laboratoryを運営する機関は何ですか？,"[""Fermi Research Alliance、LLC"", ""Fermi Research Alliance""]",Je! Ni taasisi gani inayofanya kazi maabara ya Accelerator ya Kitaifa ya Fermi?,"[""Fermi Utafiti Alliance, LLC"", ""Ushirikiano wa Utafiti wa Fermi""]",สถาบันใดที่ดำเนินงานห้องปฏิบัติการเร่งความเร็วแห่งชาติ Fermi,"[""Fermi Research Alliance, LLC"", ""Fermi Research Alliance""]"
